MinuteToComplete,Year,Nachklausur,Course,Grade,AttemptNumber,Bachelor/Master,Study
75,2020,Yes,Vis,1.7,1,Bachelor,WirtschaftsInformatik
52,2020,Yes,Vis,2,2,Bachelor,WirtschaftsInformatik
50,2020,Yes,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
66,2020,Yes,Vis,1,2,Bachelor,WirtschaftsInformatik
51,2020,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
51,2020,Yes,Vis,1.7,2,Bachelor,(Wirtschafts-)Mathematik
39,2019,No,Vis,3.7,1,Bachelor,WirtschaftsInformatik
58,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
15,2019,No,Vis,5,1,Master,(Wirtschafts-)Mathematik
61,2019,No,Vis,1,1,Bachelor,WirtschaftsInformatik
56,2019,No,Vis,2.3,1,Master,WirtschaftsInformatik
54,2019,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
55,2019,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
81,2019,No,Vis,1.3,1,Master,WirtschaftsInformatik
79,2019,No,Vis,1,1,Bachelor,WirtschaftsInformatik
80,2019,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
73,2019,No,Vis,2.7,1,Master,WirtschaftsInformatik
77,2019,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
59,2019,No,Vis,2.3,1,Master,WirtschaftsInformatik
74,2019,No,Vis,1.3,1,Master,(Wirtschafts-)Mathematik
24,2019,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
63,2019,No,Vis,3,2,Bachelor,WirtschaftsInformatik
68,2019,No,Vis,2,1,Master,WirtschaftsInformatik
72,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
69,2019,No,Vis,2.7,2,Bachelor,(Wirtschafts-)Mathematik
62,2019,No,Vis,2.7,1,Master,WirtschaftsInformatik
88,2019,No,Vis,3,1,Bachelor,WirtschaftsInformatik
59,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
60,2019,No,Vis,1,3,Bachelor,WirtschaftsInformatik
86,2019,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
50,2019,No,Vis,1.7,1,Master,WirtschaftsInformatik
64,2019,No,Vis,3.3,1,Bachelor,(Wirtschafts-)Mathematik
58,2019,No,Vis,2,1,Master,WirtschaftsInformatik
55,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
60,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
60,2019,No,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
90,2019,No,Vis,3,2,Bachelor,WirtschaftsInformatik
69,2019,No,Vis,3,1,Bachelor,WirtschaftsInformatik
53,2019,No,Vis,3,1,Master,(Wirtschafts-)Mathematik
66,2019,No,Vis,1,2,Bachelor,(Wirtschafts-)Mathematik
78,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
57,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
73,2019,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
67,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
75,2019,No,Vis,3.7,1,Bachelor,WirtschaftsInformatik
57,2019,No,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
15,2019,No,Vis,5,3,Master,WirtschaftsInformatik
90,2019,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
34,2019,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
60,2019,No,Vis,3,1,Bachelor,WirtschaftsInformatik
40,2019,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
15,2019,No,Vis,5,1,Bachelor,WirtschaftsInformatik
74,2019,No,Vis,1,1,Bachelor,(Wirtschafts-)Mathematik
60,2019,No,Vis,3.7,3,Bachelor,WirtschaftsInformatik
65,2019,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
73,2019,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
38,2019,No,Vis,3,1,Bachelor,WirtschaftsInformatik
71,2019,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
38,2019,No,Vis,4,1,Master,(Wirtschafts-)Mathematik
53,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
76,2019,No,Vis,3.3,2,Bachelor,WirtschaftsInformatik
15,2019,No,Vis,5,1,Master,WirtschaftsInformatik
85,2019,No,Vis,1.7,1,Master,(Wirtschafts-)Mathematik
88,2019,No,Vis,5,2,Master,WirtschaftsInformatik
32,2019,No,Vis,1.3,2,Master,WirtschaftsInformatik
82,2019,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
71,2019,No,Vis,2,1,Bachelor,(Wirtschafts-)Mathematik
15,2019,No,Vis,5,2,Master,(Wirtschafts-)Mathematik
76,2019,No,Vis,2.3,1,Master,WirtschaftsInformatik
73,2019,No,Vis,4,2,Bachelor,WirtschaftsInformatik
40,2019,No,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
89,2019,No,Vis,4,2,Bachelor,(Wirtschafts-)Mathematik
37,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
76,2019,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
32,2019,No,Vis,2,1,Bachelor,WirtschaftsInformatik
77,2019,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
85,2019,No,Vis,1,1,Bachelor,(Wirtschafts-)Mathematik
77,2019,No,Vis,3,1,Bachelor,WirtschaftsInformatik
69,2019,No,Vis,4,1,Bachelor,WirtschaftsInformatik
77,2019,No,Vis,5,1,Bachelor,WirtschaftsInformatik
85,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
62,2019,No,Vis,1,1,Bachelor,(Wirtschafts-)Mathematik
50,2019,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
85,2019,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
18,2019,No,Vis,5,1,Master,(Wirtschafts-)Mathematik
85,2019,No,Vis,5,1,Master,WirtschaftsInformatik
90,2019,No,Vis,1,3,Bachelor,WirtschaftsInformatik
90,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
72,2019,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
88,2019,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
63,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
15,2019,No,Vis,5,1,Master,(Wirtschafts-)Mathematik
73,2019,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
49,2019,No,Vis,2,1,Bachelor,WirtschaftsInformatik
15,2019,No,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
41,2019,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
87,2019,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
66,2019,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
46,2019,Yes,Vis,4,2,Bachelor,WirtschaftsInformatik
73,2019,Yes,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
64,2019,Yes,Vis,1,2,Bachelor,WirtschaftsInformatik
47,2019,Yes,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
89,2019,Yes,Vis,3,1,Bachelor,WirtschaftsInformatik
36,2019,Yes,Vis,3.3,3,Bachelor,WirtschaftsInformatik
72,2019,Yes,Vis,2,1,Bachelor,WirtschaftsInformatik
60,2019,Yes,Vis,3.7,2,Master,WirtschaftsInformatik
58,2019,Yes,Vis,2.3,2,Bachelor,WirtschaftsInformatik
48,2019,Yes,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
57,2019,Yes,Vis,4,2,Master,WirtschaftsInformatik
62,2019,Yes,Vis,4,2,Bachelor,WirtschaftsInformatik
37,2019,Yes,Vis,3,1,Master,(Wirtschafts-)Mathematik
85,2019,Yes,Vis,2.7,1,Bachelor,WirtschaftsInformatik
50,2019,Yes,Vis,2.3,1,Master,WirtschaftsInformatik
76,2019,Yes,Vis,1,1,Bachelor,(Wirtschafts-)Mathematik
65,2019,Yes,Vis,1.3,1,Master,(Wirtschafts-)Mathematik
54,2019,Yes,Vis,3,2,Master,WirtschaftsInformatik
52,2019,Yes,Vis,5,2,Bachelor,WirtschaftsInformatik
84,2019,Yes,Vis,1.7,2,Master,(Wirtschafts-)Mathematik
68,2019,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
49,2019,Yes,Vis,3.7,1,Bachelor,WirtschaftsInformatik
51,2019,Yes,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
69,2019,Yes,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
45,2019,Yes,Vis,4,2,Bachelor,WirtschaftsInformatik
29,2019,Yes,Vis,1.3,1,Bachelor,(Wirtschafts-)Mathematik
67,2019,Yes,Vis,2.7,2,Bachelor,WirtschaftsInformatik
52,2019,Yes,Vis,3.3,2,Bachelor,WirtschaftsInformatik
29,2019,Yes,Vis,1.3,2,Bachelor,WirtschaftsInformatik
76,2019,Yes,Vis,2.3,1,Master,(Wirtschafts-)Mathematik
31,2019,Yes,Vis,3.3,1,Bachelor,WirtschaftsInformatik
59,2019,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
46,2019,Yes,Vis,1,2,Master,WirtschaftsInformatik
44,2019,Yes,Vis,4,2,Master,WirtschaftsInformatik
63,2019,Yes,Vis,3.7,1,Bachelor,WirtschaftsInformatik
60,2019,Yes,Vis,1,1,Bachelor,(Wirtschafts-)Mathematik
57,2019,Yes,Vis,1,1,Bachelor,(Wirtschafts-)Mathematik
54,2019,Yes,Vis,1.7,2,Bachelor,WirtschaftsInformatik
59,2019,Yes,Vis,3.3,2,Bachelor,WirtschaftsInformatik
84,2019,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
39,2019,Yes,Vis,1.3,1,Master,(Wirtschafts-)Mathematik
90,2021,No,VA,1.3,3,Bachelor,WirtschaftsInformatik
30,2021,No,VA,3.3,3,Bachelor,WirtschaftsInformatik
59,2021,No,VA,4,1,Bachelor,WirtschaftsInformatik
75,2021,No,VA,1,1,Bachelor,WirtschaftsInformatik
55,2021,No,VA,1,2,Master,(Wirtschafts-)Mathematik
51,2021,No,VA,3.7,1,Master,WirtschaftsInformatik
69,2021,No,VA,2.7,2,Master,WirtschaftsInformatik
67,2021,No,VA,2.3,1,Master,WirtschaftsInformatik
46,2021,No,VA,2.3,1,Bachelor,(Wirtschafts-)Mathematik
88,2021,No,VA,3.3,1,Master,WirtschaftsInformatik
31,2021,No,VA,5,1,Master,(Wirtschafts-)Mathematik
55,2021,No,VA,5,1,Master,(Wirtschafts-)Mathematik
46,2021,No,VA,1.7,2,Bachelor,(Wirtschafts-)Mathematik
24,2021,No,VA,3,1,Master,WirtschaftsInformatik
58,2021,No,VA,3,1,Master,(Wirtschafts-)Mathematik
86,2021,No,VA,1.3,3,Bachelor,WirtschaftsInformatik
83,2021,No,VA,3.7,2,Master,WirtschaftsInformatik
43,2021,No,VA,4,3,Master,WirtschaftsInformatik
68,2021,No,VA,1.7,1,Master,WirtschaftsInformatik
51,2021,No,VA,5,1,Bachelor,WirtschaftsInformatik
49,2021,No,VA,4,1,Master,(Wirtschafts-)Mathematik
50,2021,No,VA,5,1,Bachelor,WirtschaftsInformatik
60,2021,No,VA,2,1,Master,WirtschaftsInformatik
60,2021,No,VA,3.3,2,Master,(Wirtschafts-)Mathematik
26,2021,No,VA,5,1,Master,WirtschaftsInformatik
74,2021,No,VA,5,1,Master,WirtschaftsInformatik
31,2021,No,VA,2.7,3,Master,(Wirtschafts-)Mathematik
65,2021,No,VA,3.3,1,Bachelor,WirtschaftsInformatik
18,2021,No,VA,5,1,Master,WirtschaftsInformatik
37,2021,No,VA,4,1,Bachelor,WirtschaftsInformatik
65,2021,No,VA,2.7,1,Master,(Wirtschafts-)Mathematik
68,2021,No,VA,3,1,Bachelor,WirtschaftsInformatik
41,2021,No,VA,2.3,1,Bachelor,WirtschaftsInformatik
49,2021,No,VA,2.7,1,Master,WirtschaftsInformatik
84,2021,Yes,VA,5,3,Master,(Wirtschafts-)Mathematik
83,2021,Yes,VA,3,1,Master,WirtschaftsInformatik
50,2021,Yes,VA,3.7,2,Master,WirtschaftsInformatik
52,2021,Yes,VA,2.3,2,Master,(Wirtschafts-)Mathematik
78,2021,Yes,VA,5,1,Bachelor,WirtschaftsInformatik
15,2021,Yes,VA,5,1,Master,WirtschaftsInformatik
55,2021,Yes,VA,4,2,Master,WirtschaftsInformatik
62,2021,Yes,VA,5,2,Master,(Wirtschafts-)Mathematik
58,2021,Yes,VA,4,2,Master,WirtschaftsInformatik
60,2021,Yes,VA,3.7,1,Bachelor,(Wirtschafts-)Mathematik
87,2021,Yes,VA,5,2,Master,WirtschaftsInformatik
64,2021,Yes,VA,2.7,1,Bachelor,(Wirtschafts-)Mathematik
83,2021,Yes,VA,4,2,Master,WirtschaftsInformatik
67,2021,Yes,VA,5,3,Bachelor,WirtschaftsInformatik
65,2021,Yes,VA,3.3,2,Master,WirtschaftsInformatik
67,2020,No,VA,1,3,Master,WirtschaftsInformatik
52,2020,No,VA,3.3,1,Bachelor,(Wirtschafts-)Mathematik
19,2020,No,VA,4,1,Master,WirtschaftsInformatik
82,2020,No,VA,1.7,1,Bachelor,WirtschaftsInformatik
80,2020,No,VA,1,1,Master,WirtschaftsInformatik
60,2020,No,VA,4,1,Bachelor,WirtschaftsInformatik
71,2020,No,VA,2.7,1,Bachelor,WirtschaftsInformatik
79,2020,No,VA,3,1,Master,(Wirtschafts-)Mathematik
88,2020,No,VA,3,1,Master,WirtschaftsInformatik
54,2020,No,VA,3.7,1,Master,WirtschaftsInformatik
44,2020,No,VA,5,1,Master,(Wirtschafts-)Mathematik
82,2020,No,VA,5,2,Bachelor,WirtschaftsInformatik
56,2020,No,VA,2.3,1,Master,WirtschaftsInformatik
55,2020,No,VA,3,1,Master,WirtschaftsInformatik
59,2020,No,VA,3,1,Master,(Wirtschafts-)Mathematik
74,2020,No,VA,1,1,Bachelor,WirtschaftsInformatik
65,2020,No,VA,3.7,3,Master,WirtschaftsInformatik
77,2020,No,VA,5,1,Bachelor,WirtschaftsInformatik
78,2020,No,VA,2,1,Bachelor,(Wirtschafts-)Mathematik
75,2020,No,VA,3.3,2,Master,WirtschaftsInformatik
49,2020,No,VA,4,1,Master,WirtschaftsInformatik
90,2020,No,VA,4,1,Bachelor,(Wirtschafts-)Mathematik
65,2020,No,VA,3,1,Bachelor,WirtschaftsInformatik
80,2020,No,VA,3,1,Master,WirtschaftsInformatik
64,2020,No,VA,2.3,1,Master,WirtschaftsInformatik
57,2020,No,VA,2,1,Bachelor,WirtschaftsInformatik
61,2020,Yes,VA,5,1,Master,(Wirtschafts-)Mathematik
70,2020,Yes,VA,2.7,1,Master,WirtschaftsInformatik
15,2020,Yes,VA,3,2,Master,WirtschaftsInformatik
90,2020,Yes,VA,3.3,2,Bachelor,WirtschaftsInformatik
50,2020,Yes,VA,4,1,Master,WirtschaftsInformatik
88,2020,Yes,VA,4,1,Bachelor,(Wirtschafts-)Mathematik
57,2020,Yes,VA,3.3,1,Master,(Wirtschafts-)Mathematik
15,2020,Yes,VA,5,2,Bachelor,WirtschaftsInformatik
64,2020,Yes,VA,3,1,Master,WirtschaftsInformatik
74,2020,Yes,VA,3.3,2,Bachelor,(Wirtschafts-)Mathematik
75,2020,Yes,VA,4,2,Master,(Wirtschafts-)Mathematik
78,2020,Yes,VA,3.7,1,Master,(Wirtschafts-)Mathematik
48,2019,No,VA,1.3,1,Bachelor,WirtschaftsInformatik
69,2019,No,VA,3,1,Master,WirtschaftsInformatik
47,2019,No,VA,5,1,Master,WirtschaftsInformatik
50,2019,No,VA,1.7,1,Bachelor,WirtschaftsInformatik
86,2019,No,VA,1.3,1,Master,WirtschaftsInformatik
17,2019,No,VA,3.7,1,Master,WirtschaftsInformatik
76,2019,No,VA,2.7,1,Master,WirtschaftsInformatik
83,2019,No,VA,3,1,Master,(Wirtschafts-)Mathematik
33,2019,No,VA,3,1,Master,(Wirtschafts-)Mathematik
70,2019,No,VA,3.3,1,Master,WirtschaftsInformatik
66,2019,No,VA,5,1,Master,WirtschaftsInformatik
15,2019,No,VA,4,1,Master,(Wirtschafts-)Mathematik
63,2019,No,VA,2,1,Master,WirtschaftsInformatik
60,2019,No,VA,2.7,1,Bachelor,(Wirtschafts-)Mathematik
49,2019,No,VA,3,1,Master,WirtschaftsInformatik
84,2019,No,VA,2.7,1,Bachelor,WirtschaftsInformatik
56,2019,No,VA,2.3,1,Master,WirtschaftsInformatik
79,2019,No,VA,3.7,3,Bachelor,WirtschaftsInformatik
41,2019,No,VA,4,1,Master,(Wirtschafts-)Mathematik
82,2019,No,VA,5,1,Bachelor,WirtschaftsInformatik
79,2019,No,VA,1.7,1,Master,WirtschaftsInformatik
69,2019,No,VA,2.7,1,Master,(Wirtschafts-)Mathematik
78,2019,No,VA,3.3,1,Master,WirtschaftsInformatik
72,2019,No,VA,1,1,Master,WirtschaftsInformatik
79,2019,No,VA,3.3,1,Master,WirtschaftsInformatik
51,2019,No,VA,3.7,1,Bachelor,WirtschaftsInformatik
61,2019,No,VA,2,2,Master,WirtschaftsInformatik
85,2019,No,VA,4,1,Master,WirtschaftsInformatik
15,2019,No,VA,3.7,1,Bachelor,(Wirtschafts-)Mathematik
66,2019,No,VA,5,1,Master,WirtschaftsInformatik
90,2019,No,VA,2,3,Master,WirtschaftsInformatik
90,2019,No,VA,3.7,1,Bachelor,WirtschaftsInformatik
75,2019,No,VA,4,1,Master,WirtschaftsInformatik
78,2019,No,VA,5,1,Master,WirtschaftsInformatik
82,2019,No,VA,2,1,Bachelor,WirtschaftsInformatik
15,2019,No,VA,3,1,Bachelor,WirtschaftsInformatik
75,2019,No,VA,4,1,Master,WirtschaftsInformatik
59,2019,No,VA,4,1,Master,WirtschaftsInformatik
15,2019,No,VA,2.3,1,Master,WirtschaftsInformatik
67,2019,No,VA,3.7,1,Master,(Wirtschafts-)Mathematik
70,2019,No,VA,2.3,1,Master,WirtschaftsInformatik
64,2019,No,VA,2.7,2,Bachelor,(Wirtschafts-)Mathematik
60,2019,Yes,VA,5,1,Master,(Wirtschafts-)Mathematik
73,2019,Yes,VA,3.3,1,Master,WirtschaftsInformatik
50,2019,Yes,VA,3.7,1,Master,(Wirtschafts-)Mathematik
56,2019,Yes,VA,2.3,1,Master,WirtschaftsInformatik
90,2019,Yes,VA,5,1,Master,(Wirtschafts-)Mathematik
33,2019,Yes,VA,5,2,Master,WirtschaftsInformatik
62,2019,Yes,VA,3.7,1,Bachelor,(Wirtschafts-)Mathematik
70,2019,Yes,VA,5,1,Bachelor,WirtschaftsInformatik
65,2019,Yes,VA,5,3,Bachelor,WirtschaftsInformatik
49,2019,Yes,VA,4,1,Bachelor,(Wirtschafts-)Mathematik
50,2019,Yes,VA,4,1,Master,(Wirtschafts-)Mathematik
65,2019,Yes,VA,3,2,Bachelor,WirtschaftsInformatik
26,2019,Yes,VA,4,2,Bachelor,(Wirtschafts-)Mathematik
84,2019,Yes,VA,5,3,Master,WirtschaftsInformatik
58,2019,Yes,VA,4,1,Master,WirtschaftsInformatik
65,2019,No,VA,3.3,1,Master,WirtschaftsInformatik
39,2019,No,VA,2.3,1,Master,(Wirtschafts-)Mathematik
40,2019,No,VA,2.3,1,Bachelor,WirtschaftsInformatik
45,2019,Yes,VA,5,1,Bachelor,WirtschaftsInformatik
80,2019,Yes,VA,3,2,Bachelor,WirtschaftsInformatik
85,2019,Yes,VA,3,1,Bachelor,WirtschaftsInformatik
47,2019,Yes,VA,2.3,1,Master,(Wirtschafts-)Mathematik
41,2022,No,VA,1,1,Master,WirtschaftsInformatik
70,2022,No,VA,3,1,Master,WirtschaftsInformatik
47,2022,No,VA,4,1,Master,WirtschaftsInformatik
37,2022,No,VA,1,1,Master,WirtschaftsInformatik
73,2022,No,VA,1.7,1,Bachelor,(Wirtschafts-)Mathematik
44,2022,No,VA,3.7,1,Master,WirtschaftsInformatik
26,2022,No,VA,2,1,Master,WirtschaftsInformatik
76,2022,No,VA,2.3,1,Bachelor,WirtschaftsInformatik
17,2022,No,VA,2.3,1,Master,WirtschaftsInformatik
83,2022,No,VA,3.7,1,Master,WirtschaftsInformatik
34,2022,No,VA,4,1,Bachelor,(Wirtschafts-)Mathematik
56,2022,No,VA,5,1,Bachelor,WirtschaftsInformatik
66,2022,No,VA,2,1,Bachelor,(Wirtschafts-)Mathematik
68,2022,No,VA,3,1,Master,(Wirtschafts-)Mathematik
49,2022,No,VA,3,1,Bachelor,WirtschaftsInformatik
56,2022,No,VA,2.3,1,Master,(Wirtschafts-)Mathematik
74,2022,No,VA,2.7,1,Bachelor,(Wirtschafts-)Mathematik
72,2022,No,VA,3,1,Master,(Wirtschafts-)Mathematik
39,2022,No,VA,5,1,Master,(Wirtschafts-)Mathematik
15,2022,No,VA,5,1,Master,WirtschaftsInformatik
15,2022,No,VA,2.3,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,2.7,1,Master,(Wirtschafts-)Mathematik
15,2022,No,VA,2.7,2,Bachelor,WirtschaftsInformatik
15,2022,No,VA,1,1,Master,WirtschaftsInformatik
15,2022,No,VA,3.3,1,Master,WirtschaftsInformatik
15,2022,No,VA,4,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,1.3,1,Master,WirtschaftsInformatik
15,2022,No,VA,5,1,Master,WirtschaftsInformatik
15,2022,No,VA,4,1,Master,(Wirtschafts-)Mathematik
15,2022,No,VA,5,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,2.3,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,3.7,1,Master,(Wirtschafts-)Mathematik
15,2022,No,VA,5,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,5,1,Master,WirtschaftsInformatik
15,2022,No,VA,2,1,Master,(Wirtschafts-)Mathematik
15,2022,No,VA,3.3,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,4,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,5,1,Master,WirtschaftsInformatik
15,2022,No,VA,2.3,1,Master,WirtschaftsInformatik
15,2022,No,VA,3.7,1,Master,WirtschaftsInformatik
15,2022,No,VA,2.7,1,Bachelor,(Wirtschafts-)Mathematik
15,2022,No,VA,2,1,Master,(Wirtschafts-)Mathematik
15,2022,Yes,VA,5,1,Master,WirtschaftsInformatik
15,2022,Yes,VA,3.3,2,Bachelor,(Wirtschafts-)Mathematik
15,2022,Yes,VA,3.3,3,Bachelor,WirtschaftsInformatik
15,2022,Yes,VA,2.3,1,Master,WirtschaftsInformatik
15,2022,Yes,VA,4,2,Master,WirtschaftsInformatik
15,2022,Yes,VA,5,1,Bachelor,WirtschaftsInformatik
15,2022,Yes,VA,3.3,2,Master,WirtschaftsInformatik
15,2022,Yes,VA,4,2,Master,WirtschaftsInformatik
15,2022,Yes,VA,4,2,Master,WirtschaftsInformatik
15,2022,Yes,VA,3.3,1,Master,WirtschaftsInformatik
15,2022,Yes,VA,5,1,Master,WirtschaftsInformatik
15,2022,Yes,VA,3,1,Master,(Wirtschafts-)Mathematik
15,2022,Yes,VA,3.3,2,Master,WirtschaftsInformatik
15,2022,Yes,VA,5,1,Master,WirtschaftsInformatik
15,2022,Yes,VA,3.3,1,Master,WirtschaftsInformatik
15,2022,No,VA,3.3,1,Master,WirtschaftsInformatik
15,2022,No,VA,2,1,Bachelor,WirtschaftsInformatik
15,2022,No,VA,2,2,Master,WirtschaftsInformatik
15,2022,Yes,VA,4,2,Bachelor,WirtschaftsInformatik
15,2022,Yes,VA,3.3,1,Master,WirtschaftsInformatik
15,2022,Yes,VA,3,1,Bachelor,WirtschaftsInformatik
15,2022,Yes,VA,3,2,Master,WirtschaftsInformatik
